hevy_template_id,title,type,primary_muscle_group
D410F649,Jack Knife (Suspension),reps_only,abdominals
32B0B590,Jackknife Sit Up,reps_only,abdominals
040BA2E3,Jump Rope,duration,cardio
BA3DE542,Jump Shrug,weight_reps,full_body
70D4EBBF,Jump Squat,reps_only,quadriceps
991833C2,Jumping Jack,reps_only,full_body
5CC07A1F,Jumping Lunge,reps_only,quadriceps
3b7ab7ce-8322-4e1c-ad78-16780bd3133c,Kelso Shrug,weight_reps,traps
55BA475A,Kettlebell Around the World,weight_reps,shoulders
F99C211D,Kettlebell Clean,weight_reps,full_body
